accountlogontype,accountrunlevel,certificateissuer,certificatesubject,comment,creator,description,execarguments,execprogrampath,hostname,name,signatureexists,signatureverified,virtualpath
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,This event is triggered when an IP address conflict is detected.,Microsoft Corporation,The file is signed and the signature was verified.,ndfapi.dll NdfRunDllDuplicateIPDefendingSystem,%windir%\system32\rundll32.exe,EC0003XSC,IpAddressConflict2,true,true,\Microsoft\Windows\Tcpip\IpAddressConflict2
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,,The file is signed and the signature was verified.,-maintenance,%windir%\system32\compattelrunner.exe,EC0003XSC,ProgramDataUpdater,true,true,\Microsoft\Windows\Application Experience\ProgramDataUpdater
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,Network information collector,Microsoft,The file is signed and the signature was verified.,,%windir%\system32\gatherNetworkInfo.vbs,EC0003XSC,GatherNetworkInfo,true,true,\Microsoft\Windows\NetTrace\GatherNetworkInfo
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,Windows Error Reporting task to process queued reports.,Microsoft Corporation,The file is signed and the signature was verified.,-queuereporting,%windir%\system32\wermgr.exe,EC0003XSC,QueueReporting,true,true,\Microsoft\Windows\Windows Error Reporting\QueueReporting
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task will automatically upload a roaming user profile's registry hive to its network location.,Microsoft Corporation,,,,EC0003XSC,HiveUploadTask,,,\Microsoft\Windows\User Profile Service\HiveUploadTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,This task applies color calibration settings.,Microsoft Corporation,,,,EC0003XSC,Calibration Loader,,,\Microsoft\Windows\WindowsColorSystem\Calibration Loader
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,,,The Windows Diagnostic Infrastructure Resolution host enables interactive resolutions for system problems detected by the Diagnostic Policy Service. It is triggered when necessary by the Diagnostic Policy Service in the appropriate user session. If the Diagnostic Policy Service is not running  the task will not run,Microsoft Corporation,,,,EC0003XSC,ResolutionHost,,,\Microsoft\Windows\WDI\ResolutionHost
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,The USB CEIP (Customer Experience Improvement Program) task collects Universal Serial Bus related statistics and information about your machine and sends it to the Windows Device Connectivity engineering group at Microsoft.  The information received is used to help improve the reliability  stability  and overall functionality of USB in Windows.  If the user has not consented to participate in Windows CEIP  this task does not do anything.,Microsoft Corporation,,,,EC0003XSC,UsbCeip,,,\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,Task for launching Initial Configuration Tasks or Server Manager at logon.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\ServerManagerLauncher.exe,EC0003XSC,ServerManager,true,true,\Microsoft\Windows\Server Manager\ServerManager
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task is part of the Windows Server Customer Experience Improvement Program.  Please do not manually delete this task.  Please see http://go.microsoft.com/fwlink/?linkid=52095 for more information.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\ceiprole.exe,EC0003XSC,ServerRoleCollector,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Server\ServerRoleCollector
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Microsoft Reliability Analysis task to process system reliability data.,Microsoft Corporation,,,,EC0003XSC,RacTask,,,\Microsoft\Windows\RAC\RacTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,TextServicesFramework monitor task,,,,,EC0003XSC,MsCtfMonitor,,,\Microsoft\Windows\TextServicesFramework\MsCtfMonitor
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Certificate Services Client automatically manages digital identities such as Certificates  Keys and Credentials for the users and the machine  enabling enrollment  roaming and other services.,Microsoft Corporation,,,,EC0003XSC,SystemTask,,,\Microsoft\Windows\CertificateServicesClient\SystemTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task adjusts the start type for firewall-triggered services when the start type of the Base Filtering Engine (BFE) is disabled.,Microsoft Corporation,The file is signed and the signature was verified.,bfe.dll BfeOnServiceStartTypeChange,%windir%\system32\rundll32.exe,EC0003XSC,BfeOnServiceStartTypeChange,true,true,\Microsoft\Windows\Windows Filtering Platform\BfeOnServiceStartTypeChange
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task collects and uploads autochk SQM data if opted-in to the Microsoft Customer Experience Improvement Program.,Microsoft Corporation,The file is signed and the signature was verified.,/d acproxy.dll PerformAutochkOperations,%windir%\system32\rundll32.exe,EC0003XSC,Proxy,true,true,\Microsoft\Windows\Autochk\Proxy
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails.,Microsoft Corporation,,,,EC0003XSC,AD RMS Rights Policy Template Management (Manual),,,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task is part of the Windows Server Customer Experience Improvement Program.  Please do not manually delete this task.  Please see http://go.microsoft.com/fwlink/?linkid=52095 for more information.,Microsoft Corporation,The file is signed and the signature was verified.,"/delete /tn ""Microsoft\Windows\Customer Experience Improvement Program\Server\ServerRoleCollector-RunOnce"" /f",%windir%\system32\schtasks.exe,EC0003XSC,ServerRoleCollector-RunOnce,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Server\ServerRoleCollector-RunOnce
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case  it fails silently.,Microsoft Corporation,,,,EC0003XSC,AD RMS Rights Policy Template Management (Automated),,,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Runs a task as the interactive user.,Microsoft Corporation,,,,EC0003XSC,Interactive,,,\Microsoft\Windows\Task Manager\Interactive
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,The Kernel CEIP (Customer Experience Improvement Program) task collects additional information about the system and sends this data to Microsoft.  If the user has not consented to participate in Windows CEIP  this task does nothing.,Microsoft Corporation,,,,EC0003XSC,KernelCeipTask,,,\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task is part of the Windows Server Customer Experience Improvement Program.  Please do not manually delete this task.  Please see http://go.microsoft.com/fwlink/?linkid=52095 for more information.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\ceipdata.exe,EC0003XSC,ServerCeipAssistant,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Server\ServerCeipAssistant
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,Inspects the AppID certificate cache for invalid or revoked certificates.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\appidcertstorecheck.exe,EC0003XSC,VerifiedPublisherCertStoreCheck,true,true,\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,Launch language cleanup tool,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\lpremove.exe,EC0003XSC,LPRemove,true,true,\Microsoft\Windows\MUI\LPRemove
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Certificate Services Client automatically manages digital identities such as Certificates  Keys and Credentials for the users and the machine  enabling enrollment  roaming and other services.,Microsoft Corporation,,,,EC0003XSC,UserTask,,,\Microsoft\Windows\CertificateServicesClient\UserTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,Converts the software restriction policies policy from XML into binary format.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\appidpolicyconverter.exe,EC0003XSC,PolicyConverter,true,true,\Microsoft\Windows\AppID\PolicyConverter
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,,Avast Emergency Update,The file is signed and the signature was verified.,,C:\Program Files\AVAST Software\Avast\AvEmUpdate.exe,EC0003XSC,Avast Emergency Update,true,true,\Avast Emergency Update
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This job analyzes the system looking for conditions that may cause high energy use.,Microsoft Corporation,The file is signed and the signature was verified.,-energy -auto,%SystemRoot%\System32\powercfg.exe,EC0003XSC,AnalyzeSystem,true,true,\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Registry Idle Backup Task,Microsoft Corporation,,,,EC0003XSC,RegIdleBackup,,,\Microsoft\Windows\Registry\RegIdleBackup
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,The major version number of the operating system.,The file is signed and the signature was verified.,/B /nologo %systemroot%\system32\calluxxprovider.vbs $(Arg0) $(Arg1) $(Arg2),%systemroot%\system32\cscript.exe,EC0003XSC,CleanupOldPerfLogs,true,true,\Microsoft\Windows\Server Manager\CleanupOldPerfLogs
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,This task defragments the computers hard disk drives.,Microsoft Corporation,The file is signed and the signature was verified.,-c,%windir%\system32\defrag.exe,EC0003XSC,ScheduledDefrag,true,true,\Microsoft\Windows\Defrag\ScheduledDefrag
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,Task for launching Initial Configuration Tasks or Server Manager at logon.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\ServerManagerLauncher.exe,EC0004NDO,ServerManager,true,true,\Microsoft\Windows\Server Manager\ServerManager
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Aggregates and uploads Application Telemetry information if opted-in to the Microsoft Customer Experience Improvement Program.,Microsoft Corporation,,,aitagent,EC0004NDO,AitAgent,,,\Microsoft\Windows\Application Experience\AitAgent
TASK_LOGON_GROUP,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,This event is triggered when an IP address conflict is detected.,Microsoft Corporation,The file is signed and the signature was verified.,ndfapi.dll NdfRunDllDuplicateIPOffendingSystem,%windir%\system32\rundll32.exe,EC0004NDO,IpAddressConflict1,true,true,\Microsoft\Windows\Tcpip\IpAddressConflict1
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Microsoft Reliability Analysis task to process system reliability data.,Microsoft Corporation,,,,EC0004NDO,RacTask,,,\Microsoft\Windows\RAC\RacTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Registry Idle Backup Task,Microsoft Corporation,,,,EC0004NDO,RegIdleBackup,,,\Microsoft\Windows\Registry\RegIdleBackup
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,The major version number of the operating system.,The file is signed and the signature was verified.,/B /nologo %systemroot%\system32\calluxxprovider.vbs $(Arg0) $(Arg1) $(Arg2),%systemroot%\system32\cscript.exe,EC0004NDO,CleanupOldPerfLogs,true,true,\Microsoft\Windows\Server Manager\CleanupOldPerfLogs
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task is part of the Windows Server Customer Experience Improvement Program.  Please do not manually delete this task.  Please see http://go.microsoft.com/fwlink/?linkid=52095 for more information.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\ceipdata.exe,EC0004NDO,ServerCeipAssistant,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Server\ServerCeipAssistant
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This job analyzes the system looking for conditions that may cause high energy use.,Microsoft Corporation,The file is signed and the signature was verified.,-energy -auto,%SystemRoot%\System32\powercfg.exe,EC0004NDO,AnalyzeSystem,true,true,\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task collects and uploads autochk SQM data if opted-in to the Microsoft Customer Experience Improvement Program.,Microsoft Corporation,The file is signed and the signature was verified.,/d acproxy.dll PerformAutochkOperations,%windir%\system32\rundll32.exe,EC0004NDO,Proxy,true,true,\Microsoft\Windows\Autochk\Proxy
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Thawte Code Signing CA - G2,Google Inc,Keeps your Google software up to date. If this task is disabled or stopped your Google software will not be kept up to date meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when there is no Google software using it.,,The file is signed and the signature was verified.,/c,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe,EC0004NDO,GoogleUpdateTaskMachineCore,true,true,\GoogleUpdateTaskMachineCore
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,The USB CEIP (Customer Experience Improvement Program) task collects Universal Serial Bus related statistics and information about your machine and sends it to the Windows Device Connectivity engineering group at Microsoft.  The information received is used to help improve the reliability  stability  and overall functionality of USB in Windows.  If the user has not consented to participate in Windows CEIP  this task does not do anything.,Microsoft Corporation,,,,EC0004NDO,UsbCeip,,,\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,Microsoft Corporation,The file is signed and the signature was verified.,,C:\Windows\SYSTEM32\OOBE\SETUPSQM.EXE,EC0004NDO,SetupSQMTask,true,true,\Microsoft\Windows\SetupSQMTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,TextServicesFramework monitor task,,,,,EC0004NDO,MsCtfMonitor,,,\Microsoft\Windows\TextServicesFramework\MsCtfMonitor
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,This task applies color calibration settings.,Microsoft Corporation,,,,EC0004NDO,Calibration Loader,,,\Microsoft\Windows\WindowsColorSystem\Calibration Loader
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case  it fails silently.,Microsoft Corporation,,,,EC0004NDO,AD RMS Rights Policy Template Management (Automated),,,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,,Avast Emergency Update,The file is signed and the signature was verified.,,C:\Program Files\AVAST Software\Avast\AvEmUpdate.exe,EC0004NDO,Avast Emergency Update,true,true,\Avast Emergency Update
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Task for launching the Memory Diagnostic,Microsoft Corporation,,,,EC0004NDO,CorruptionDetector,,,\Microsoft\Windows\MemoryDiagnostic\CorruptionDetector
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task restarts the Software Protection Platform service at the specified time,Microsoft Corporation,,start sppsvc,sc.exe,EC0004NDO,SvcRestartTask,,,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,Maintains date and time synchronization on all clients and servers in the network. If this service is stopped  date and time synchronization will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Microsoft Corporation,The file is signed and the signature was verified.,start w32time task_started,%windir%\system32\sc.exe,EC0004NDO,SynchronizeTime,true,true,\Microsoft\Windows\Time Synchronization\SynchronizeTime
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,Windows Error Reporting task to process queued reports.,Microsoft Corporation,The file is signed and the signature was verified.,-queuereporting,%windir%\system32\wermgr.exe,EC0004NDO,QueueReporting,true,true,\Microsoft\Windows\Windows Error Reporting\QueueReporting
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Set UPnPHost service to Auto-Start,Microsoft,,config upnphost start= auto,sc.exe,EC0004NDO,UPnPHostConfig,,,\Microsoft\Windows\UPnP\UPnPHostConfig
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,Inspects the AppID certificate cache for invalid or revoked certificates.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\appidcertstorecheck.exe,EC0004NDO,VerifiedPublisherCertStoreCheck,true,true,\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Task for launching the Memory Diagnostic,Microsoft Corporation,,,,EC0004NDO,DecompressionFailureDetector,,,\Microsoft\Windows\MemoryDiagnostic\DecompressionFailureDetector
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,The Kernel CEIP (Customer Experience Improvement Program) task collects additional information about the system and sends this data to Microsoft.  If the user has not consented to participate in Windows CEIP  this task does nothing.,Microsoft Corporation,,,,EC0004NDO,KernelCeipTask,,,\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,If the user has consented to participate in the Windows Customer Experience Improvement Program  this job collects and sends usage data to Microsoft.,Microsoft Corporation,The file is signed and the signature was verified.,,%SystemRoot%\System32\wsqmcons.exe,EC0004NDO,Consolidator,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Consolidator
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,Provides support for the switching of mobility enabled VPN connections if their underlying interface goes down.,Microsoft Corporation,,,,EC0004NDO,MobilityManager,,,\Microsoft\Windows\Ras\MobilityManager
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task is part of the Windows Server Customer Experience Improvement Program.  Please do not manually delete this task.  Please see http://go.microsoft.com/fwlink/?linkid=52095 for more information.,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\ceiprole.exe,EC0004NDO,ServerRoleCollector,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Server\ServerRoleCollector
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,,The file is signed and the signature was verified.,/UploadEtlFilesOnly,%windir%\system32\CompatTelRunner.exe,EC0004NDO,Microsoft Compatibility Appraiser,true,true,\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,System Sounds User Mode Agent,,,,,EC0004NDO,SystemSoundsService,,,\Microsoft\Windows\Multimedia\SystemSoundsService
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,The major version number of the operating system.,The file is signed and the signature was verified.,"%systemroot%\system32\pla.dll PlaHost ""Server Manager Performance Monitor"" ""$(Arg0)""",%systemroot%\system32\rundll32.exe,EC0004NDO,Server Manager Performance Monitor,true,true,\Microsoft\Windows\PLA\Server Manager Performance Monitor
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,,,This task will automatically upload a roaming user profile's registry hive to its network location.,Microsoft Corporation,,,,EC0004NDO,HiveUploadTask,,,\Microsoft\Windows\User Profile Service\HiveUploadTask
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Runs a task as the interactive user.,Microsoft Corporation,,,,EC0004NDO,Interactive,,,\Microsoft\Windows\Task Manager\Interactive
TASK_LOGON_GROUP,TASK_RUNLEVEL_LUA,,,Certificate Services Client automatically manages digital identities such as Certificates  Keys and Credentials for the users and the machine  enabling enrollment  roaming and other services.,Microsoft Corporation,,,,EC0004NDO,UserTask-Roam,,,\Microsoft\Windows\CertificateServicesClient\UserTask-Roam
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_HIGHEST,Microsoft Windows Verification PCA,Microsoft Windows,Launch language cleanup tool,Microsoft Corporation,The file is signed and the signature was verified.,,%windir%\system32\lpremove.exe,EC0004NDO,LPRemove,true,true,\Microsoft\Windows\MUI\LPRemove
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,,,The file is signed and the signature was verified.,-maintenance,%windir%\system32\compattelrunner.exe,EC0004NDO,ProgramDataUpdater,true,true,\Microsoft\Windows\Application Experience\ProgramDataUpdater
TASK_LOGON_SERVICE_ACCOUNT,TASK_RUNLEVEL_LUA,Microsoft Windows Verification PCA,Microsoft Windows,This task is part of the Windows Server Customer Experience Improvement Program.  Please do not manually delete this task.  Please see http://go.microsoft.com/fwlink/?linkid=52095 for more information.,Microsoft Corporation,The file is signed and the signature was verified.,-roleusage,%windir%\system32\ceipdata.exe,EC0004NDO,ServerRoleUsageCollector,true,true,\Microsoft\Windows\Customer Experience Improvement Program\Server\ServerRoleUsageCollector
